Title,Date/Time,Location,Event Link,Image URL
Disability in the News,"Mon, Feb 3, 2025 12pm to 1pm",Virtual Event,https://calendar.utexas.edu/event/disability-in-the-news-3326,https://localist-images.azureedge.net/photos/48551028130942/card/574c7ff0db579bad6da6a173f9f73823f1f04355.jpg
Health Social Work Grand Rounds with Dr. Frederic Reamer,"Mon, Feb 3, 2025 12pm to 1pm","Health Discovery Building (HDB), 1.208 and Zoom",https://calendar.utexas.edu/event/health-social-work-grand-rounds-with-dr-frederic-reamer,https://localist-images.azureedge.net/photos/47853717418915/card/9faf0faab34a9e3661f20d7e8da557831813526b.jpg
Leader Identity Development Luncheon for First-Gen Grad Students and Postdocs,"Mon, Feb 3, 2025 12pm to 1:30pm",William C. Powers Student Activity Center (WCP) 2.122,https://calendar.utexas.edu/event/leader-identity-development-luncheon-for-first-gen-grad-students-and-postdocs,https://localist-images.azureedge.net/photos/48730284064278/card/74c6f34184fe71d0603c47a7c70b49fac3225a34.jpg
Learn How to Use the EndNote Reference Management Tool,"Mon, Feb 3, 2025 12pm to 1:15pm",Virtual Event,https://calendar.utexas.edu/event/learn-how-to-use-the-endnote-reference-management-tool-9877,https://localist-images.azureedge.net/photos/48595499289634/card/afeba8d85d61deda3d2e12561a45190e76eaffba.jpg
Recruiting student participants for a research study,"Mon, Feb 3, 2025 12pm to 12am",Virtual Event,https://calendar.utexas.edu/event/recruiting-student-participants-for-a-research-study,https://localist-images.azureedge.net/photos/48714712007413/card/cb9226c06b56c99fe5ac757ccb6aec636b276c43.jpg
SMART Recovery,"Mon, Feb 3, 2025 12pm to 12:50pm","Student Services Building (SSB), 2.106",https://calendar.utexas.edu/event/smart-recovery-8185,https://localist-images.azureedge.net/photos/48597133238938/card/38225125fbe67d6ec7900e88e74d84548d8d4e8a.jpg
SMART Recovery,"Mon, Feb 3, 2025 12pm to 1pm","Student Services Building (SSB), 2.106",https://calendar.utexas.edu/event/smart-recovery,https://localist-images.azureedge.net/photos/47923088794341/card/5de66e9072f6876440e6847967e4b3e3f1fb04d3.jpg
"Spring 2025 Book Club: ""Teaching with AI"" (2024) [Pt 1]","Mon, Feb 3, 2025 12pm to 1pm",PCL Learning Lab 4,https://calendar.utexas.edu/event/spring-2025-book-club-quotteaching-with-aiquot-2024-pt-1,https://localist-images.azureedge.net/photos/48729436572307/card/313c5fb2a3ddc3a6e0c293967d2935b0f60ec7cc.jpg
A European View on Intelligence Cooperation,"Mon, Feb 3, 2025 12:15pm to 1:30pm","LBJ School of Public Affairs, SRH 3.122",https://calendar.utexas.edu/event/a-european-view-on-intelligence-cooperation,https://localist-images.azureedge.net/photos/48535614801758/card/194fd3494292e8e6262e9358100f34334ae1c338.jpg
UTNY Information Session,"Mon, Feb 3, 2025 3pm to 4pm",UT Austin Campus or Online,https://calendar.utexas.edu/event/utny-information-session-8106,https://localist-images.azureedge.net/photos/48561927004355/card/08e06ca70cc61331e322958cc215f2eac7f71a32.jpg
"LBJ Conversations with John Bucy III, Sheryl Cole, and Gina Hinojosa","Mon, Feb 3, 2025 4pm to 5pm",LBJ - SRH 3.122,https://calendar.utexas.edu/event/lbj-conversations-with-john-bucy-iii-sheryl-cole-and-gina-hinojosa,https://localist-images.azureedge.net/assets/main/thumbs/event-card-e8fbec6b879e626660bc3b106415792fbe680c753d6f976c4b7bc9cbc8935664.png
Online Learning Workshop -- Sanger Learning Center,"Mon, Feb 3, 2025 4pm to 5pm",Virtual Event,https://calendar.utexas.edu/event/online-learning-workshop-sanger-learning-center,https://localist-images.azureedge.net/assets/main/thumbs/event-card-e8fbec6b879e626660bc3b106415792fbe680c753d6f976c4b7bc9cbc8935664.png
River ≠ Border: Reclaiming Our River and Remixing History with Zeke Peña,"Mon, Feb 3, 2025 4:30pm","E. William Doty Fine Arts Building (DFA), DFA 2.204",https://calendar.utexas.edu/event/river-border-reclaiming-our-river-and-remixing-history-with-zeke-pena,https://localist-images.azureedge.net/photos/48725326773823/card/2fc6d557e97cebdb22332231cff5b46caf813489.jpg
"""Should TikTok Be Banned?"" A Civic Discourse Event","Mon, Feb 3, 2025 5:30pm to 7:30pm",,https://calendar.utexas.edu/event/quotshould-tiktok-be-bannedquot-a-civic-discourse-event,https://localist-images.azureedge.net/photos/48729993829875/card/6883bac43c850a8629af0bee5dc4355ef83553c0.jpg
Clean Energy Office Hours,"Mon, Feb 3, 2025 6pm to 9pm",,https://calendar.utexas.edu/event/clean-energy-office-hours,https://localist-images.azureedge.net/assets/main/thumbs/event-card-e8fbec6b879e626660bc3b106415792fbe680c753d6f976c4b7bc9cbc8935664.png
Adapted Wheelchair Tennis and Pickleball,"Mon, Feb 3, 2025 6:30pm to 8:30pm","Whitaker Courts 9,10,11",https://calendar.utexas.edu/event/adapted-wheelchair-tennis-and-pickleball,https://localist-images.azureedge.net/assets/main/thumbs/event-card-e8fbec6b879e626660bc3b106415792fbe680c753d6f976c4b7bc9cbc8935664.png
Adapted/Wheelchair Tennis & Pickleball Nights,"Mon, Feb 3, 2025 6:30pm to 8:30pm",Whitaker Courts 9 and 10,https://calendar.utexas.edu/event/adaptedwheelchair-tennis-pickleball-nights,https://localist-images.azureedge.net/photos/48551028130942/card/574c7ff0db579bad6da6a173f9f73823f1f04355.jpg
Student Government General Assembly,"Mon, Feb 3, 2025 7pm to 10pm",,https://calendar.utexas.edu/event/student-government-general-assembly,https://localist-images.azureedge.net/photos/48729554973347/card/c090bce0b60eecceecfdf0f8b31ff9281040f0b4.jpg
